번호,"아이디어
 발굴방법",아이디어 원천,창업아이템,상세 설명,핵심 기술/방법론
1,경험과 지식,간병 관련 보험,"스마트폰 사용 패턴(타이핑 속도, 단어 선택 등)이나 음성 분석을 통해 초기 인지 저하를 탐지",간병보험 시장이 최근 경쟁 치열. 보험사에서 신상품 출시 활발. AI 기반 초기 인지저하 탐지로 보험 리스크 관리 및 예방 서비스 연계 가능. 고령사회 진입에 따른 수요 지속 증가.,"AI 음성/행동 패턴 분석
 스마트폰 센서 데이터
 자연어처리(NLP)"
2,경험과 지식,"나는솔로
 (AI 매칭)",AI를 활용한 애인 매칭 시스템 & 여행 매칭,"① AI(챗봇)와 1~2일 자유 대화 → 성향 파악 → 유사 성향 매칭
 ② 단순 설문이 아닌 ""심심이""처럼 자연스러운 대화 기반 프로파일링
 ③ 연애 상담 서비스 제공 → 상담 데이터 기반 매칭 연결
 ④ 혼자 여행 시 현지 전문가/여행자 매칭 서비스로 확장 가능
 ⑤ 여행 카페/커뮤니티와 협업 가능","AI 대화 분석
 성향 프로파일링
 추천 알고리즘
 NLP 감성분석"
3,경험과 지식,"오픈클로
 (자녀 AI 관리)",유해 콘텐츠 제어 + AI 기반 자녀 튜터링 서비스,,
4,경험과 지식,"AI 자녀/부모
 모니터링",자녀의 AI 사용 내역 수집·분석 → 부모 리포트 서비스,"자녀가 AI와 대화한 내용을 수집·분석하여 부모에게 요약 리포트 제공. 아이의 관심사, 고민, 성향 변화를 부모가 파악할 수 있도록 함. 3번 아이템(오픈클로)과 통합 가능성 높음.","AI 대화 로그 분석
 NLP 감성/주제 분석
 대시보드 시각화"
5,외부의 정보,"문단열
 (영어 학습)",TTS 기반 트렌드 맞춤형 영어 지문 생성·학습 서비스,"① 최신 트렌드 뉴스/기사를 AI가 취합 → 관심 주제 선택(10개 중 고르기)
 ② 선택 주제로 영어 지문 자동 생성 → TTS 음성 재생
 ③ 지문 읽기 → 한 줄씩 해석 → 3회 반복 학습 구조
 ④ 기존 교재의 진부한 지문 대비 ""내 관심사 기반"" 최신 콘텐츠로 학습 동기 부여
 ⑤ 팟캐스트형 해석 서비스 제공","TTS/STT 엔진
 뉴스 크롤링/API
 AI 지문 생성
 난이도 자동 조절"
6,경험과 지식,"반려견
 (노견 케어)",IoT/카메라 기반 노견 상태 모니터링 및 알림 서비스,"① 카메라/센서로 노견의 상태를 실시간 모니터링
 ② 이상 행동(쓰러짐, 움직임 저하 등) 감지 시 보호자에게 알림
 ③ 대리 산책 서비스 연계 (GoPro 녹화 → 리포트 전송)
 ④ 고령 시니어(부모님) 돌봄으로 확장 가능: 낙상 감지, 이상 상태 알림
 ⑤ 웨어러블 디바이스/홈 센서 기반 서비스 가능","IoT 센서/카메라
 AI 영상 분석
 이상행동 감지 모델
 웨어러블 디바이스"
7,"외부의 정보
 (스레드)",수화 해석,수화 동작을 실시간 텍스트로 변환하는 서비스,"카메라로 수화 동작을 인식하여 실시간 텍스트 변환. 스레드에서 본 아이디어로 팀원 모두 호감. 수익 모델 구축은 어려울 수 있으나, 사회적 가치 높은 아이템. 청각장애인 커뮤니케이션 접근성 향상.","AI 영상 인식
 수화 동작 인식 모델
 Real-time inference
 자연어 생성"
8,경험과 지식,"고령 운전자
 면허 반납 유도",차량 센서 기반 고령 운전자 인지력 저하 감지 → 면허 반납 권고 서비스,"① 자율주행 시대 전환기에 고령 운전자의 반응속도·인지력 저하를 차량 센서로 감지
 ② 급정거 빈도, 차선 이탈 등 운전 패턴 데이터 수집·분석
 ③ 인지력 저하 판단 시 면허 반납을 권고하고, 반납 시 인센티브 제공(세차, 자율주행차 전환 등)
 ④ 1번 간병보험 아이템과 연계 가능: 보험사 리스크 관리 데이터로 활용
 ⑤ 고령사회 교통안전 정책과 연계 가능성 높음","차량 OBD/센서 데이터
 AI 운전 패턴 분석
 인지력 저하 모델
 IoT 텔레매틱스"
9,경험과 지식,"유병자 매칭
 (보험 연계)",유병자끼리의 커뮤니티 매칭 및 보험 연계 서비스,"① 유병자(만성질환자, 표준체 미달자) 간 커뮤니티 매칭 서비스
 ② 같은 질환·상태의 사람들끼리 정보 공유, 심리적 지지 그룹 형성
 ③ 유병자 전용 보험 상품 연계(유병자 보험 시장 확대 트렌드)
 ④ 2번 나는솔로 매칭 시스템의 변형: AI 대화 기반 성향+건강상태 프로파일링
 ⑤ ""공황장애 맥주 모임"" 등 가벼운 소셜 활동으로 진입 → 보험·헬스케어 연계","AI 프로파일링
 건강 데이터 분석
 커뮤니티 플랫폼
 보험 상품 연계 API"
10,경험과 지식,"스마트글래스
 AI 패션 체크",스마트글래스/매장 카메라 기반 AI 패션 트렌드 분석 및 코디 추천,"① 스마트글래스 또는 매장 내 카메라로 고객의 현재 착장을 분석
 ② AI가 최신 패션 트렌드와 비교하여 어울리는 아이템·코디 추천
 ③ 옷가게 입장 시 고객 착장 스캔 → ""이 아이템이 어울립니다, ○번 진열대"" 안내
 ④ 퍼스널컬러 진단과 결합: 피부톤 분석 → 쿨톤/웜톤 맞춤 추천
 ⑤ 화장품/메이크업 분야로 확장 가능 (피부 타입 분석 → 제품 추천)
 ⑥ 개인화 AI 서비스 트렌드와 부합","AI 영상/이미지 분석
 패션 트렌드 DB
 퍼스널컬러 진단 모델
 스마트글래스/AR
 추천 알고리즘"
